  epoch   1 | train=8.7601 | val=8.7698
  epoch   2 | train=8.7600 | val=8.7698
  epoch   3 | train=8.7600 | val=8.7698
  epoch   4 | train=8.7600 | val=8.7698
  epoch   5 | train=8.7598 | val=8.7698
  epoch   6 | train=8.7602 | val=8.7698
  epoch   7 | train=8.7597 | val=8.7698
  epoch   8 | train=8.7599 | val=8.7698
  epoch   9 | train=8.7604 | val=8.7698
  epoch  10 | train=8.7603 | val=8.7698
  epoch  11 | train=8.7603 | val=8.7698
  epoch  12 | train=8.7601 | val=8.7698
  epoch  13 | train=8.7603 | val=8.7698
  epoch  14 | train=8.7602 | val=8.7698
  epoch  15 | train=8.7600 | val=8.7698
  epoch  16 | train=8.7599 | val=8.7698
  epoch  17 | train=8.7599 | val=8.7698
  epoch  18 | train=8.7604 | val=8.7698
  epoch  19 | train=8.7602 | val=8.7698
  epoch  20 | train=8.7594 | val=8.7698
